Time,Chan1,Chan2,Chan3,Chan4,Chan5,Chan6,Chan7,Chan8,Chan9,Chan10,Chan11,Chan12,Chan13,Chan14,Chan15,Chan16,Chan17,Chan18,Chan19,Chan20,Chan21,Chan22,Chan23,Chan24,Chan25,Chan26,Chan27,Chan28,Chan29,Chan30,Chan31,Chan32,Chan33
0.07800,0.09971,0.01453,-0.24178,0.13298,0.00603,0.07799,-0.50466,0.12927,-0.16261,0.20463,-0.28095,0.19020,-0.11176,-0.21452,-1.68128,0.81092,2.42733,-3.88378,1.61668,-0.02661,0.54891,-0.38363,-0.97615,-0.69843,-0.75618,-0.84776,0.16768,-0.09401,-0.83160,0.45201,-0.27810,0.82632,0.00733
0.08000,0.04187,-0.04842,0.27380,0.03399,-0.00469,0.10305,-0.88522,-0.00365,-0.48624,0.50414,-0.11959,0.34292,-0.18867,0.04145,-2.55717,0.79518,3.22698,-3.44507,-0.21469,-1.26912,0.84639,-0.83710,-0.44242,-1.41242,0.46799,-1.62518,0.37255,-0.00329,-1.45504,0.13350,-1.41267,1.70658,0.25118
0.08200,0.00677,-0.06441,0.25336,0.01612,0.20133,-0.00986,-0.04456,-0.10165,-0.37473,-0.15800,0.01048,0.41001,-0.17271,-0.44013,-1.51216,-0.37835,0.91049,-3.01596,-1.24040,-0.67718,0.65759,-1.07976,-0.12630,-1.53753,0.02130,-1.08327,0.08832,0.29420,0.27207,-0.09113,-1.02522,-0.24706,0.47181
0.08400,0.04856,-0.03515,-0.03146,-0.01646,0.02289,-0.25067,0.15397,-0.14760,0.27874,-0.04934,0.10021,-0.37569,-0.01312,-0.78835,0.38846,0.32640,-3.25729,3.14501,-1.53341,1.28289,-0.03591,-0.90306,-0.72495,-0.78253,-1.05341,-0.03377,-0.73750,-0.14739,0.55493,-0.19688,0.65668,0.01247,0.56590
0.08600,0.13374,0.11105,-0.32612,-0.01550,-0.00004,-0.37181,0.05991,-0.74662,0.47782,0.13139,0.15147,-0.08692,0.07411,-0.90246,0.96397,0.47945,-2.87938,-0.41027,-6.95481,1.82104,-0.63963,-0.36877,-1.32630,0.29459,-1.91987,0.32155,-0.79687,-0.43505,0.39965,-1.14835,1.48560,0.26734,0.57034
0.08800,0.14916,0.08448,-0.27150,0.44554,0.02153,-0.01861,-0.01926,-0.44829,-0.06284,0.27531,0.14540,0.11880,-0.11939,-0.47207,-1.24575,1.27310,-1.98777,-2.38791,-5.30758,1.14183,-0.88499,-0.05116,-1.41514,-0.16285,-1.32605,0.18189,0.06124,0.31799,0.25488,-0.66270,-0.00663,0.44769,0.51054
0.09000,0.07665,0.00477,-0.09190,0.00581,0.09052,0.10348,-0.05978,0.81484,0.01790,0.30666,-0.18607,0.26768,-0.23372,0.27385,-1.59590,0.07965,3.50800,-2.96680,2.16095,0.26913,-0.72554,-0.62482,-0.68122,-1.11988,-0.16246,-1.22253,0.59694,0.06799,0.15251,0.50272,-0.09963,0.53013,0.01318
0.09200,-0.04757,-0.05857,-0.01941,-0.03879,0.20798,-0.00702,-0.55778,1.27155,0.12634,0.24841,0.02015,-0.29063,-0.24257,0.48556,-1.88665,-0.16064,0.59257,-12.52111,3.00742,-0.05601,-0.20359,-1.27443,0.13223,-1.88897,0.25483,-1.43642,0.64281,0.35871,-0.59815,1.16572,0.12451,0.54920,0.28265
0.09400,-0.02905,-0.04319,0.40489,-0.05710,0.04067,-0.09040,-0.25400,0.18010,0.20252,0.18789,0.15058,-0.58777,-0.15282,-1.00903,0.52005,0.78796,-1.18182,-9.92787,1.19708,-0.06531,0.14190,-1.38421,-0.23827,-1.26559,-0.14521,-0.17453,0.17483,0.47446,-0.09403,-0.31973,0.38910,0.47988,0.44140
0.09600,0.08323,0.00016,-0.18979,0.24764,0.00087,-0.12330,0.67647,0.08768,0.20460,-0.02802,0.19439,-0.33538,0.02324,-0.55137,1.87925,1.53458,-1.85430,2.20901,0.62705,0.05159,-0.50731,-0.67000,-1.04105,-0.06978,-1.46408,1.15284,-0.60007,0.44221,-0.19277,-0.20304,0.55255,0.04792,0.36960
